request_id,t_submit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,e2e_s
r57,1790282676.973685,1790282677.391552,1790282685.312907,703,256,0.417867,8.339222
r58,1790282676.976594,1790282677.391558,1790282685.313252,5,256,0.414964,8.336659
r59,1790282676.976992,1790282677.391563,1790282685.313533,11,256,0.414571,8.336540
r60,1790282677.000964,1790282677.423454,1790282685.347375,10,256,0.422490,8.346411
r61,1790282677.001541,1790282677.423460,1790282682.154776,10,153,0.421919,5.153235
r62,1790282677.389247,1790282677.487149,1790282685.385545,45,256,0.097902,7.996297
r63,1790282677.390211,1790282677.487156,1790282680.201510,3,89,0.096945,2.811299
r64,1790282677.390673,1790282677.487161,1790282685.388710,77,256,0.096488,7.998037
r65,1790282678.150924,1790282678.214808,1790282686.370121,3,256,0.063884,8.219197
r66,1790282678.972371,1790282679.061541,1790282687.197792,115,256,0.089170,8.225420
r67,1790282679.818697,1790282679.896225,1790282688.020119,102,256,0.077528,8.201422
r68,1790282680.201533,1790282680.269910,1790282688.412079,10,256,0.068377,8.210546
r69,1790282681.737444,1790282681.819228,1790282689.939420,112,256,0.081784,8.201976
r70,1790282682.154799,1790282682.223431,1790282690.341002,15,256,0.068631,8.186203
r71,1790282682.649261,1790282682.718256,1790282690.923787,15,256,0.068995,8.274526
r72,1790282685.280878,1790282685.348151,1790282693.553886,18,256,0.067274,8.273008
r73,1790282685.312135,1790282685.389089,1790282693.586962,6,256,0.076953,8.274827
r74,1790282685.312609,1790282685.389092,1790282693.587552,8,256,0.076484,8.274943
r75,1790282685.312932,1790282685.389097,1790282693.587918,14,256,0.076164,8.274986
r76,1790282685.313267,1790282685.389100,1790282693.588258,5,256,0.075833,8.274990
r77,1790282685.313545,1790282685.389104,1790282693.590719,10,256,0.075559,8.277174
r78,1790282685.347393,1790282685.433296,1790282693.646887,75,256,0.085904,8.299494
r79,1790282685.385572,1790282685.700228,1790282693.851051,985,256,0.314656,8.465479
r80,1790282685.388735,1790282685.700231,1790282693.851573,9,256,0.311496,8.462839
r81,1790282686.370147,1790282686.445582,1790282694.830879,57,256,0.075435,8.460732
r82,1790282687.197811,1790282687.265554,1790282695.697419,10,256,0.067742,8.499608
r83,1790282688.020149,1790282688.114423,1790282696.546738,182,256,0.094274,8.526589
r84,1790282688.412103,1790282688.479841,1790282696.921978,10,256,0.067738,8.509876
r85,1790282689.939443,1790282690.008226,1790282698.477414,10,256,0.068782,8.537971
r86,1790282690.341027,1790282690.492945,1790282698.875017,492,256,0.151917,8.533989
r87,1790282690.923808,1790282690.992653,1790282699.364683,12,256,0.068845,8.440875
r88,1790282693.553938,1790282693.648537,1790282701.913733,173,256,0.094599,8.359795
r89,1790282693.586986,1790282693.854668,1790282701.944183,19,256,0.267683,8.357197
r90,1790282693.587570,1790282693.854673,1790282701.944201,12,256,0.267103,8.356631
r91,1790282693.587935,1790282693.854676,1790282701.944213,11,256,0.266741,8.356278
r92,1790282693.588271,1790282693.854680,1790282701.944224,609,256,0.266409,8.355953
r93,1790282693.590741,1790282693.854684,1790282694.334086,91,9,0.263943,0.743345
r94,1790282693.646917,1790282693.929524,1790282701.973207,232,256,0.282608,8.326290
r95,1790282693.851094,1790282694.149619,1790282702.001864,5,256,0.298525,8.150770
r96,1790282693.851603,1790282694.149622,1790282702.001880,775,256,0.298019,8.150277
r97,1790282694.334108,1790282694.616286,1790282702.222361,6,256,0.282178,7.888253
r98,1790282694.830906,1790282694.926082,1790282702.650827,160,256,0.095176,7.819922
r99,1790282695.697446,1790282695.768667,1790282703.375000,19,256,0.071222,7.677555
r100,1790282696.546763,1790282696.615278,1790282704.661036,775,256,0.068514,8.114273
