request_id,t_submit,t_first_token,t_finish,prompt_tokens,gen_tokens,ttft_s,e2e_s
r44,1790282728.834242,1790282728.859110,1790282729.336514,20,38,0.024868,0.502272
r45,1790282729.182634,1790282729.206884,1790282732.498462,26,256,0.024250,3.315828
r46,1790282729.336534,1790282729.360895,1790282732.649235,20,256,0.024361,3.312701
r47,1790282729.462635,1790282729.487815,1790282732.775896,20,256,0.025180,3.313261
r48,1790282729.616236,1790282729.640051,1790282731.783043,44,167,0.023815,2.166807
r49,1790282729.783162,1790282729.807684,1790282732.039739,32,174,0.024523,2.256577
r50,1790282729.872584,1790282729.897573,1790282732.624674,23,212,0.024989,2.752090
r51,1790282730.465926,1790282730.490103,1790282731.963197,16,115,0.024177,1.497271
r52,1790282730.996618,1790282731.021003,1790282732.903013,17,147,0.024385,1.906395
r53,1790282731.783066,1790282731.807321,1790282735.001320,30,250,0.024255,3.218254
r54,1790282731.963215,1790282731.987318,1790282734.360784,15,186,0.024103,2.397569
r55,1790282732.039763,1790282732.064298,1790282733.105270,53,82,0.024535,1.065508
r56,1790282732.498484,1790282732.522966,1790282735.774634,19,256,0.024482,3.276149
r57,1790282732.624692,1790282732.649824,1790282735.898271,15,256,0.025132,3.273578
r58,1790282732.649256,1790282732.673632,1790282735.923196,16,256,0.024376,3.273939
r59,1790282732.775923,1790282732.800295,1790282734.168276,18,109,0.024372,1.392353
r60,1790282732.903031,1790282732.927383,1790282734.283262,16,107,0.024352,1.380232
r61,1790282733.105288,1790282733.129754,1790282736.376390,19,256,0.024466,3.271102
r62,1790282734.168324,1790282734.192253,1790282736.040841,60,145,0.023930,1.872517
r63,1790282734.283282,1790282734.308460,1790282737.511851,44,256,0.025177,3.228569
r64,1790282734.360807,1790282734.384722,1790282737.601615,39,256,0.023915,3.240808
r65,1790282735.001348,1790282735.025688,1790282738.231431,23,256,0.024339,3.230083
r66,1790282735.774658,1790282735.797878,1790282739.011003,32,256,0.023219,3.236345
r67,1790282735.898293,1790282735.923741,1790282739.135583,13,256,0.025448,3.237290
r68,1790282735.923221,1790282735.951446,1790282739.159774,17,256,0.028225,3.236553
r69,1790282736.040858,1790282736.064749,1790282739.284688,16,256,0.023891,3.243831
r70,1790282736.376423,1790282736.399721,1790282739.637588,22,256,0.023298,3.261165
r71,1790282737.511874,1790282737.535740,1790282740.812549,64,256,0.023865,3.300675
r72,1790282737.601640,1790282737.627594,1790282740.884300,16,256,0.025955,3.282660
r73,1790282738.231454,1790282738.256080,1790282740.038123,12,139,0.024626,1.806669
r74,1790282739.011029,1790282739.035037,1790282740.424608,14,108,0.024008,1.413579
r75,1790282739.135613,1790282739.160662,1790282741.042850,13,148,0.025049,1.907238
r76,1790282739.159800,1790282739.185796,1790282739.973492,79,61,0.025996,0.813692
r77,1790282739.284711,1790282739.310015,1790282742.539663,18,256,0.025304,3.254952
r78,1790282739.637609,1790282739.662338,1790282741.504088,17,147,0.024729,1.866479
r79,1790282739.973520,1790282739.999144,1790282743.221217,21,256,0.025624,3.247697
r80,1790282740.038152,1790282740.062112,1790282743.284073,34,256,0.023960,3.245921
r81,1790282740.424630,1790282740.448955,1790282741.742743,15,105,0.024326,1.318114
r82,1790282740.812573,1790282740.834812,1790282744.076200,21,256,0.022239,3.263627
r83,1790282740.884320,1790282740.908419,1790282744.154977,18,256,0.024099,3.270657
r84,1790282741.042873,1790282741.066419,1790282742.665584,54,128,0.023546,1.622711
r85,1790282741.504110,1790282741.527199,1790282744.834561,17,256,0.023089,3.330451
r86,1790282741.742761,1790282741.766950,1790282745.086447,20,256,0.024189,3.343686
r87,1790282742.539688,1790282742.563954,1790282745.927797,27,256,0.024266,3.388109
r88,1790282742.665608,1790282742.689585,1790282742.741244,32,5,0.023977,0.075636
r89,1790282742.741260,1790282742.765348,1790282745.914096,14,239,0.024089,3.172836
r90,1790282743.221246,1790282743.245561,1790282743.321085,29,7,0.024315,0.099839
r91,1790282743.284102,1790282743.308254,1790282746.694027,17,256,0.024152,3.409925
r92,1790282743.321100,1790282743.345546,1790282746.733809,12,256,0.024446,3.412709
r93,1790282744.076231,1790282744.101675,1790282747.482868,13,256,0.025445,3.406637
r94,1790282744.155003,1790282744.179323,1790282744.436706,32,20,0.024321,0.281703
r95,1790282744.436724,1790282744.463282,1790282747.019051,15,193,0.026558,2.582326
r96,1790282744.834589,1790282744.860194,1790282746.760271,19,144,0.025604,1.925682
r97,1790282745.086478,1790282745.111826,1790282748.421889,17,252,0.025348,3.335411
r98,1790282745.914122,1790282745.940303,1790282747.298817,11,105,0.026181,1.384695
r99,1790282745.927823,1790282745.952479,1790282749.051156,25,238,0.024656,3.123333
